wunsch,kategorie,ort,datum
Innerer Frieden,Innerer Frieden,Ausstellung München,2026-03-15
Dass meine Familie gesund bleibt,Gesundheit,Ausstellung München,2026-03-15
Mehr Flow im Alltag,Innerer Frieden,Ausstellung München,2026-03-15
Eine ehrliche Beziehung,Beziehungen,Ausstellung München,2026-03-15
Erfolg mit meiner Kunst,Beruf & Kunst,Ausstellung München,2026-03-15
Zufriedenheit mit dem Weg den ich gehe,Beruf & Kunst,Ausstellung München,2026-03-15
Weniger Krieg,Gesellschaft,Ausstellung München,2026-03-15
Gute Freundschaften,Beziehungen,Ausstellung München,2026-03-15
Mut Neues zu wagen,Innerer Frieden,Ausstellung München,2026-03-15
Dass meine Oma noch viele Jahre hat,Familie,Ausstellung München,2026-03-15
Frieden in der Welt,Gesellschaft,Ausstellung München,2026-03-15
Eine eigene Wohnung,Sonstiges,Ausstellung München,2026-03-15
Mehr Zeit für mich selbst,Innerer Frieden,Ausstellung München,2026-03-15
Liebe finden,Beziehungen,Ausstellung München,2026-03-15
Dass mein Bruder seinen Weg findet,Familie,Ausstellung München,2026-03-15
